what is the admission fee?|admission charges|how much is admission fee?|fee for admission,Please refer to the latest fee structure on the college website.,,,
how can i apply for admission?|admission process|apply for admission|how to apply for college?,Applications can be submitted online through the admission portal.,,,
how many books can i issue at a time?|how many books can be issued?|book borrowing limit|how many books can be borrowed?|borrow limit,Student can issue up to 2 books at a time.,,,
is hostel facility avilable?|is hostel available?|hostel facility|does college have hostel?|hostel accommodation,"Yes,hostel facilities are avilable for students.",,,
how can i apply for a hostel?|hostel application|apply for hostel|hostel admission,Applications can be sunmitted through the hostel office.,,,
what are the hostel timings?|hostel entry time|hostel rules|hostel schedule,Hostel entry timings are as per hostel regulations.,,,
does the college provide placement suppport?|does the college provide placement support?|placement support|placement assistance|college placement|does college help with jobs?,"Yes,the placement cell assists students with job opportunities.",,,
how can i register for placement drive?|placement registration|register for placement|sign up for placement,Register through the placement portal or placement portal or placement office.,,,
which companise visit the campus?|which companies visit campus?|companies for placement|campus recruitment companies|recruiters on campus,"Various IT,core,and service companies participate in placement drives.",,,
how can i contact faculty members?|faculty contact|teacher contact|how to reach professors?,Faculty contact details are avilable on the college website.,,,
is wi-fi available in campus?|campus wifi|wifi on campus|internet available?,"Yes,Wi-Fi is avilable for students and staff.",,,
when is the annual fest?|college fest|annual event|cultural fest date,Event dates are announced by the student council.,,,
are there any clubs in the college?|college clubs|student clubs|activities in college,"Yes,there are techincal , cultural,and sports club.",,,
what is the exam schedule?,Exam schedule is available on the college portal.,,,
where is the library?|library location|where is library located?|library is located where?,Library is located near central mess.,,,
how can i check my result?|where to check results?|result check|how to see my result?,Results can be checked on the student portal.,,,
who is the hod of cse?|cse department head|head of cse|who leads cse?,The HOD of CSE department is Mr. Rajeev Chechi.,,,
what are college timings?,College timings are 8.40 AM to 3.40 PM.,,,
what is the admission process?|how to get admission?|admission steps|college admission process,Students can apply online through the college admission portal and submit the required documents.,,,
what is the last date for admission?|admission deadline|last date to apply|admission closing date,The admission deadline is announced on the college website every academic year.,,,
is there an entrance exam?|entrance exam required?|do i need to give entrance exam?|entrance test,"Admission may be based on entrance exam scores or merit, depending on the course.",,,
what is the eligibility for b.tech admission?|b.tech eligibility|btech admission requirements|eligibility criteria for btech,"Candidates must have completed 10+2 with Physics, Chemistry, and Mathematics.",,,
how can i apply online?|online admission|apply online|online application process,"Visit the college admission portal, fill out the application form, and upload the required documents.",,,
is management quota available?|management quota seats|management quota admission,"Yes,management quota seats are available according to college policies.",,,
can i get admission through counseling?|counseling admission|admission via counseling,"Yes,eligible students can apply through the counseling process.",,,
what is the admission helpline number?|admission contact number|helpline for admission|admission phone number,Please contact the admission office for the latest helpline number.,,,
when does the admission session start?|admission session|when does admission start?|new admission session,Admissions generally begin after the declaration of qualifying examination results.,,,
what courses are offered by the college?|courses available|programs offered|what can i study here?,"The college offers undergraduate, postgraduate, and diploma programs in various disciplines.",,,
does the college offer b.tech?|btech available|is btech offered?|b.tech program,"Yes, the college offers B.Tech programs in multiple engineering branches.",,,
does the college offer mba?|mba program|is mba offered?|mba available,"Yes, the college offers a Master of Business Administration program.",,,
does the college offer mca?|mca program|is mca offered?|mca available,"Yes, the college offers a Master of Computer Applications program.",,,
what specializations are available in cse?|cse specializations|computer science specializations|branches in cse,"Specializations may include AI, Data Science, Cyber Security, and Cloud Computing.",,,
how many semesters are there in b.tech?|btech semesters|semesters in btech|duration of btech,The B.Tech program consists of eight semesters.,,,
what is the duration of the mba course?|mba duration|how long is mba?|mba course length,The MBA program is generally completed in two years.,,,
are diploma courses available?|diploma program|is diploma offered?|diploma courses,"Yes, diploma programs are available in selected disciplines.",,,
is there any online course available?|online courses|e-learning|virtual courses,The college may offer online certification and skill development courses.,,,
can i change my branch after admission?|branch change|switching branches|branch transfer,Branch change may be allowed based on academic performance and seat availability.,,,
what is the fee structure for b.tech?|btech fees|b.tech fee structure|how much is btech fee?,The fee structure varies by course and academic year. Please contact the accounts office.,,,
what is the mba fee?|mba fees|how much is mba fee?|mba fee structure,MBA fees are announced annually by the college administration.,,,
can fees be paid online?|online fee payment|pay fees online|how to pay fees?,"Yes, fees can be paid through the online payment portal.",,,
is installment payment available?|fee installment|pay in installments|emi for fees,Fee installment options may be available as per college regulations.,,,
what is the hostel fee?|hostel charges|how much is hostel fee?|hostel cost,Hostel fees depend on the accommodation type and facilities provided.,,,
when is the fee submission deadline?|fee deadline|last date for fee payment|fee due date,Fee deadlines are announced at the beginning of every semester.,,,
is there a late fee penalty?|late fee|penalty for late payment|fine for late fees,"Yes, a late fee may be charged after the due date.",,,
can i get a fee receipt online?|fee receipt|download fee receipt|online fee receipt,"Yes, fee receipts can be downloaded from the student portal.",,,
are scholarships available for fee reduction?|fee waiver|scholarship for fees|fee reduction scheme,Eligible students can apply for merit-based and government scholarships.,,,
how many departments are there in the college?|number of departments|departments list|college departments,The college has multiple academic departments offering various programs.,,,
who is the hod of computer science?|computer science head|hod cs|who is head of cs department?,Please check the department notice board or website for the current HOD details.,,,
where is the cse department located?|cse location|find cse department|computer science building,The CSE department is located in the engineering academic block.,,,
what laboratories are available in cse?|cse labs|computer labs|laboratories in cse,"Programming, Networking, AI, and Database laboratories are available.",,,
who is the principal of the college?|college principal|who leads the college?|name of principal,Please refer to the college website for the latest principal information.,,,
who is the dean of academics?|academic dean|dean of studies|dean name,The dean of academics oversees academic activities and curriculum management.,,,
how can i contact a faculty member?|contact professor|faculty email|teacher contact,Faculty contact information is available on the college website.,,,
what are the faculty office hours?|professor office hours|when can i meet faculty?|faculty availability,Faculty office hours vary by department and semester schedule.,,,
how can i meet the hod?|appointment with hod|meet the department head|hod meeting,Students can meet the HOD during official office hours.,,,
what is the placement percentage?|placement rate|how many students get placed?|college placement record,The placement percentage varies each year based on student performance and industry demand.,,,
which companies visit the campus?|companies that visit campus|campus recruitment|placement companies,"Leading IT, core engineering, and business companies participate in campus recruitment.",,,
what is the highest package offered?|highest salary package|top package|maximum ctc offered,The highest package varies each placement season.,,,
what is the average package offered?|average salary|average ctc|average placement package,The average package depends on the recruiting companies and student skills.,,,
does the college provide placement training?|placement preparation|training for placement|placement coaching,"Yes, training programs include aptitude, technical, and interview preparation.",,,
how can i register for placements?|placement registration|register for campus placement|sign up for placement,Students can register through the Training and Placement Cell.,,,
are internships available?|internship opportunities|internship program|can i do internship?,"Yes, internship opportunities are provided through industry collaborations.",,,
is hostel facility available?|is hostel available?|hostel facility|hostel accommodation|does college have hostel?,"Yes, separate hostels are available for boys and girls.",,,
are meals provided in the hostel?|hostel food|mess in hostel|food in hostel|meals at hostel,"Yes, hostel residents receive meals through the mess facility.",,,
is wi-fi available in the hostel?|hostel internet|wifi in hostel|hostel wifi,"Yes, internet facilities are available in the hostel.",,,
how many students can stay in one room?|room sharing|hostel room capacity|how many per room?,Room occupancy depends on the hostel accommodation type.,,,
where is the library located?|library location|where is library?,The library is located in the academic block.,,,
what are the library timings?|library hours|library timings|when is library open?,The library is open during working hours on all academic days.,,,
how many books can be borrowed?|borrowing limit|how many books can i borrow?|books limit,Students can borrow books according to library membership rules.,,,
can i renew borrowed books online?|online book renewal|renew books online|how to renew books?,"Yes, online renewal may be available through the library portal.",,,
is a digital library available?|digital library|e-library|online library access|digital resources,"Yes, students have access to digital resources and e-books.",,,
when will exams begin?|exam start date|when do exams start?|semester exam start|exam begin date,The examination schedule is published before the semester exams.,,,
how can i download the exam schedule?|download exam timetable|get exam schedule|exam schedule download,The exam schedule can be downloaded from the student portal.,,,
what is the passing criteria?|passing marks|minimum marks to pass|passing percentage,Students must achieve the minimum marks specified by the university.,,,
can i appear for supplementary exams?|supplementary exam|back exam|reappear in exam|failed exam options,"Yes, supplementary exams are conducted for eligible students.",,,
what scholarships are available?|available scholarships|scholarships list|types of scholarships,Various government and merit-based scholarships are available.,,,
how can i apply for a scholarship?|scholarship application|apply for scholarship|how to get scholarship?,Applications can be submitted online through the scholarship portal.,,,
who is eligible for scholarships?|scholarship eligibility|who can apply for scholarship?|criteria for scholarship,Eligibility depends on academic performance and scholarship criteria.,,,
how can i check scholarship status?|scholarship status|check my scholarship|scholarship update,Scholarship status can be checked on the scholarship portal.,,,
is wi-fi available on campus?|is wifi available?|campus wifi available?|internet on campus,"Yes, Wi-Fi connectivity is available across most campus areas.",,,
where is the canteen located?|canteen location|where is canteen?|where to eat on campus?,The canteen is located near the main academic block.,,,
does the college have sports facilities?|sports in college|sports ground|sports activities,"Yes, indoor and outdoor sports facilities are available.",,,
is parking available for students?|student parking|where to park?|parking on campus,"Yes, designated parking areas are available.",,,
does the college have an auditorium?|auditorium|college hall|event hall,"Yes, the campus has an auditorium for events and seminars.",,,
how can i get my id card?|student id|college id card|id card process,Students can collect their ID cards from the administration office.,,,
what should i do if i lose my id card?|lost id card|duplicate id card|replace id card,Report the loss immediately and apply for a duplicate ID card.,,,
how can i get a bonafide certificate?|bonafide certificate|student bonafide|how to get bonafide?,Submit a request to the administration office or student portal.,,,
how can i apply for a transcript?|transcript request|academic transcript|get my transcript,Transcript requests can be submitted through the examination section.,,,
what clubs are available in the college?|clubs list|available clubs|student organizations,"The college offers technical, cultural, sports, and social clubs.",,,
how can i join a club?|join student club|club membership|how to join a club?,Students can register during club recruitment drives.,,,
are cultural events organized?|cultural programs|college events|fests in college,"Yes, cultural events are organized throughout the academic year.",,,
are hackathons organized?|coding competitions|hackathon|tech events in college,"Yes, hackathons and coding competitions are conducted regularly.",,,
hello|hi|hey|unimate,hello! welcome to unimate. how can i assist you today?,,,
hi|hello|howdy,hi! how may i help you?,,,
good morning|morning,good morning! have a great day. how can i help you?,,,
who are you?|what are you?|tell me about yourself|what is unimate?|are you a bot?,"i am unimate, the college information chatbot designed to assist students.",,,
what can you help with?|what do you know?|what topics can you answer?|how can you help me?,"sure! ask me about admissions, courses, fees, placements, hostels, exams, or campus facilities.",,,
thank you|thanks|ok thanks|great thanks,you're welcome. feel free to ask if you need any more help.,,,
goodbye|bye|see you|take care|later|farewell|catch you later,goodbye! have a wonderful day.,,,
why should i join this college?|tell me about the college|about college|quality of education,"the college provides quality education, modern facilities, and career development opportunities.",,,
What is the attendance requirement?|attendance rule|minimum attendance,student must maintain at least 75% attendance.,,,
,,,,
,,,,
linux|what is linux|linux os,Linux is an open source operating system based on Unix|Linux is widely used on servers and cloud platforms|Linux is a powerful operating system for developers,,,
ubuntu|what is ubuntu|ubuntu linux,Ubuntu is a popular Linux distribution|Ubuntu is beginner friendly and free to use|Ubuntu is based on Debian Linux,,,
kali linux|what is kali linux|kali,Kali Linux is a security-focused Linux distribution|Kali Linux contains many penetration testing tools|Kali Linux is used for cybersecurity learning,,,
bash|what is bash|bash shell,Bash is a command line shell used in Linux|Bash allows users to run commands and automate tasks|Bash stands for Bourne Again Shell,,,
terminal|linux terminal|command line,The terminal allows you to interact with the operating system using commands|Use the terminal to run programs and scripts|The command line is powerful for developers,,,
pwd|current directory|what is pwd,The pwd command shows the current working directory|Use pwd to know your current location in the file system,,,
ls|list files|show files,The ls command lists files and folders|Use ls to view directory contents|Try ls -l for detailed information,,,
cd|change directory|move folder,The cd command changes the current directory|Use cd foldername to enter a folder|Use cd .. to move one level up,,,
mkdir|create folder|make directory,Use mkdir to create a new directory|Example: mkdir project|mkdir helps organize files into folders,,,
rm|delete file|remove file,Use rm to delete files in Linux|Be careful when using rm because deleted files are difficult to recover,,,
python|what is python programming,Python is a popular programming language|Python is easy to learn and widely used in AI and web development|Python supports object oriented programming,,,
java|what is java,Java is a platform independent programming language|Java is commonly used for enterprise and Android development,,,
c language|what is c programming,C is a powerful programming language|C is widely used for system programming and embedded systems,,,
cpp|c++|what is c++,"C++ is an extension of C with object oriented features|C++ is used for games, applications, and performance-critical software",,,
html|what is html,HTML is used to create web pages|HTML stands for HyperText Markup Language|HTML defines the structure of a website,,,
css|what is css,"CSS is used to style web pages|CSS controls colors, layouts, and fonts|CSS stands for Cascading Style Sheets",,,
javascript|what is javascript|js,JavaScript adds interactivity to web pages|JavaScript runs in browsers and servers|JavaScript is essential for modern web development,,,
sql|database query language|what is sql,SQL is used to manage databases|SQL stands for Structured Query Language|Use SQL to store and retrieve data,,,
git|what is git,Git is a version control system|Git helps developers track code changes|Git is widely used in software development,,,
github|what is github,GitHub is a platform for hosting Git repositories|GitHub helps developers collaborate on projects|You can store and share code using GitHub,,,
ai|artificial intelligence|what is ai,"Artificial Intelligence enables computers to perform tasks that require human intelligence|AI powers chatbots, recommendation systems, and automation",,,
machine learning|ml|what is ml,Machine Learning is a branch of AI|ML allows systems to learn from data without explicit programming,,,
chatbot|what is chatbot,A chatbot is software that can communicate with users|Chatbots answer questions and automate conversations,,,
flask|python flask|what is flask,Flask is a lightweight Python web framework|Flask is useful for building APIs and web applications,,,
fastapi|what is fastapi,FastAPI is a modern Python framework for APIs|FastAPI is fast and supports automatic API documentation,,,
react|what is react,React is a JavaScript library for building user interfaces|React is commonly used for frontend development,,,
internship|how to get internship,Build projects and improve your skills|Apply on platforms like Internshala and Unstop|Maintain a strong resume and GitHub profile,,,
resume|cv|how to make resume,"A resume should highlight your skills and projects|Keep your resume clear and concise|Include education, skills, and experience",,,
hackathon|what is hackathon,A hackathon is a coding competition|Hackathons help improve skills and networking|Many companies recruit through hackathons,,,
thank you|thanks a lot|appreciate it,You are welcome|Happy to help|Glad I could assist you,,,
who made you|creator|developer,I was created as CampusEdu Smart Chatbot|This chatbot was developed as an educational assistant project,,,
help|need help|assist me,"I am here to help you|Ask me about programming, Linux, AI, internships, or academics",,,
